,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bilibino,68.05,166.44,-30.48,99,81,2.93,RU,1609813374
1,Cherskiy,68.75,161.3,-31.34,78,84,5.26,RU,1609813375
2,San Cristobal,7.77,-72.22,63.19,45,92,2.37,VE,1609813376
3,Tegul'det,57.31,88.17,-24.34,0,86,3.27,RU,1609813378
4,Dingli,35.86,14.38,52.0,20,61,6.93,MT,1609813379
5,Ushuaia,-54.8,-68.3,51.8,75,53,13.87,AR,1609813380
6,Busselton,-33.65,115.33,77.0,0,44,5.01,AU,1609813381
7,Castro,-24.79,-50.01,61.29,47,95,5.88,BR,1609813382
8,Vila Velha,-20.33,-40.29,77.0,40,88,11.41,BR,1609813210
9,East London,-33.02,27.91,74.77,45,71,5.53,ZA,1609813384
10,Severo-Kuril'sk,50.68,156.12,20.39,75,90,22.1,RU,1609813385
11,Saint-Pierre,-21.34,55.48,77.0,40,69,13.87,RE,1609813386
12,Lompoc,34.64,-120.46,55.4,90,93,6.93,US,1609813388
13,Carnarvon,-24.87,113.63,82.4,0,65,11.41,AU,1609813389
14,Atuona,-9.8,-139.03,78.17,87,77,15.68,PF,1609813390
15,Punta Arenas,-53.15,-70.92,51.8,84,53,17.22,CL,1609813391
16,Grindavik,63.84,-22.43,35.6,75,71,6.93,IS,1609813392
17,Ponta do Sol,32.67,-17.1,64.4,40,82,14.99,PT,1609813393
18,Butaritari,3.07,172.79,82.24,100,77,21.14,KI,1609813394
19,Sheltozero,61.37,35.37,22.75,89,96,5.32,RU,1609813395
20,Albany,42.6,-73.97,34.0,94,87,2.64,US,1609813126
21,Irbeyskoye,55.64,95.45,-22.95,98,83,8.48,RU,1609813397
22,Rawson,-43.3,-65.1,59.65,0,65,13.09,AR,1609813191
23,Puerto Ayora,-0.74,-90.35,72.0,57,91,9.37,EC,1609813399
24,Jinchang,38.5,102.17,9.79,0,77,1.86,CN,1609813400
25,Saint-Philippe,-21.36,55.77,77.0,40,69,13.87,RE,1609813402
26,Kapaa,22.08,-159.32,78.8,1,69,9.17,US,1609813403
27,Awjilah,29.11,21.29,53.74,39,76,13.42,LY,1609813404
28,Qaanaaq,77.48,-69.36,-2.47,98,77,4.38,GL,1609813405
29,Cabo San Lucas,22.89,-109.91,66.2,5,45,2.24,MX,1609813406
30,Taoudenni,22.68,-3.98,64.58,49,24,6.02,ML,1609813407
31,George Town,5.41,100.34,80.6,20,83,3.36,MY,1609813369
32,Montes Claros,-16.73,-43.86,71.6,0,88,2.15,BR,1609813409
33,Mahébourg,-20.41,57.7,77.0,40,78,8.05,MU,1609813410
34,Mataura,-46.19,168.86,55.11,100,95,1.34,NZ,1609813411
35,Rio Grande,-32.03,-52.1,75.0,16,83,1.01,BR,1609813381
36,Bluff,-46.6,168.33,53.56,100,94,1.54,NZ,1609813414
37,Yellowknife,62.46,-114.35,-23.01,20,74,4.7,CA,1609813216
38,Litovko,49.24,135.17,-9.17,0,69,2.8,RU,1609813416
39,Rikitea,-23.12,-134.97,76.86,2,73,16.84,PF,1609813417
40,Kahului,20.89,-156.47,84.2,40,51,10.29,US,1609813418
41,Den Helder,52.96,4.76,37.99,75,93,20.8,NL,1609813419
42,Makakilo City,21.35,-158.09,84.2,1,58,10.29,US,1609813420
43,Tual,-5.67,132.75,81.82,100,79,14.56,ID,1609813421
